City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Maceio,BR,-9.6658,-35.7353,78.8,83,75,9.22,broken clouds
79,Leirvik,NO,59.7798,5.5005,44.01,87,20,11.5,few clouds
80,Elk,PL,53.8282,22.3647,38.39,78,99,6.33,overcast clouds
81,Bambous Virieux,MU,-20.3428,57.7575,78.01,88,20,4.61,few clouds
82,Dikson,RU,73.5069,80.5464,-25.04,100,96,6.93,overcast clouds
83,Dongobesh,TZ,-4.0667,35.3833,55.96,82,91,3.13,overcast clouds
84,Mar Del Plata,AR,-38.0023,-57.5575,68.0,83,40,14.97,scattered clouds
85,Koltubanovskiy,RU,52.9407,52.0269,30.34,89,100,8.66,overcast clouds
86,Cidreira,BR,-30.1811,-50.2056,78.3,72,38,4.27,scattered clouds
87,Qaanaaq,GL,77.484,-69.3632,-16.26,81,72,3.91,broken clouds
88,Hofn,IS,64.2539,-15.2082,32.36,57,66,15.05,broken clouds
89,Jijiga,ET,9.35,42.8,65.35,42,84,6.38,broken clouds
90,Chokwe,MZ,-24.5333,32.9833,68.23,81,0,5.61,clear sky
91,Narsaq,GL,60.9167,-46.05,24.8,58,0,6.91,clear sky
92,Kedrovyy,RU,56.1667,91.8167,28.4,93,40,2.24,light snow
93,Djougou,BJ,9.7085,1.666,84.42,15,3,5.12,clear sky
94,Booue,GA,-0.0921,11.9385,74.59,95,77,2.51,moderate rain
95,Kutum,SD,14.2,24.6667,67.12,12,5,16.08,clear sky
96,Coihaique,CL,-45.5752,-72.0662,66.2,52,40,6.91,scattered clouds
97,Qandala,SO,11.472,49.8728,80.87,58,3,5.14,clear sky
98,Neyshabur,IR,36.2133,58.7958,42.64,47,1,6.98,clear sky
99,Tsogni,GA,-2.7942,10.0988,76.24,90,100,6.08,moderate rain
100,Ulagan,RU,50.6321,87.9563,26.74,94,100,3.6,overcast clouds
101,Kabare,CD,-2.4683,28.8242,59.99,91,68,1.61,broken clouds
102,Fereydunshahr,IR,32.941,50.121,38.23,37,0,4.25,clear sky
103,Praia Da Vitoria,PT,38.7333,-27.0667,62.6,72,40,15.46,scattered clouds
104,Faya,SA,18.3851,42.4509,64.4,72,0,1.45,clear sky
105,Kirkwall,GB,58.9848,-2.9587,44.6,93,90,24.16,overcast clouds
106,Mpika,ZM,-11.8343,31.4529,61.54,98,100,4.5,overcast clouds
107,Dalbandin,PK,28.8947,64.4101,78.85,11,82,6.38,broken clouds
108,Nanortalik,GL,60.1432,-45.2371,26.08,66,2,8.25,clear sky
109,Inhambane,MZ,-23.865,35.3833,77.0,73,20,6.91,few clouds
110,Uyuni,BO,-20.4597,-66.825,59.43,42,69,15.55,broken clouds
111,Knysna,ZA,-34.0363,23.0471,59.0,94,0,6.91,clear sky
112,Saint-Joseph,RE,-21.3667,55.6167,78.8,78,0,6.91,clear sky
113,Annau,TM,37.8876,58.516,48.2,66,75,6.91,broken clouds
114,Bud,US,39.447,-86.1758,44.01,70,100,20.15,overcast clouds
115,Asekeyevo,RU,53.5742,52.7972,23.95,91,100,5.95,overcast clouds
116,Ciudad Bolivar,VE,8.1222,-63.5497,92.19,37,80,13.78,broken clouds
117,Lodwar,KE,3.1191,35.5973,87.96,35,90,13.53,overcast clouds
118,Yenagoa,NG,4.9247,6.2642,79.75,78,2,5.19,clear sky
119,Laje,BR,-10.1833,-40.9667,90.64,18,62,10.47,broken clouds
120,Dwarka,IN,22.2394,68.9678,78.58,75,33,12.59,scattered clouds
121,Touros,BR,-5.1989,-35.4608,86.0,66,40,12.66,scattered clouds
122,Santa Maria,BR,-29.6842,-53.8069,72.45,73,83,9.48,broken clouds
123,Ilulissat,GL,69.2167,-51.1,-5.8,41,0,2.3,clear sky
124,Omboue,GA,-1.5746,9.2618,77.72,88,100,10.45,moderate rain
125,Belmonte,BR,-15.8631,-38.8828,84.2,65,20,16.11,few clouds
126,Pasni,PK,25.2631,63.471,78.3,77,99,7.29,overcast clouds
127,Rosa Zarate,EC,0.3333,-79.4667,80.82,84,98,5.68,moderate rain
128,Kruisfontein,ZA,-34.0033,24.7314,64.0,73,100,4.0,overcast clouds
129,Nouadhibou,MR,20.931,-17.0347,68.0,73,0,20.71,clear sky
130,Saint-Philippe,RE,-21.3585,55.7679,78.8,78,0,6.91,clear sky
131,Umm Lajj,SA,25.0213,37.2685,72.64,55,12,19.33,few clouds
132,Victoria,HK,22.2855,114.1577,75.99,88,10,5.03,clear sky
133,Saint George,US,37.1041,-113.5841,71.01,27,1,3.44,clear sky
134,Samfya,ZM,-11.3649,29.5565,66.16,92,100,4.97,moderate rain
135,Maragogi,BR,-9.0122,-35.2225,80.06,77,83,6.76,moderate rain
136,Imbituba,BR,-28.24,-48.6703,82.4,69,75,10.36,broken clouds
137,Gilgit,PK,35.9221,74.3087,52.29,98,97,4.94,light rain
138,Hithadhoo,MV,-0.6,73.0833,80.15,83,100,30.65,heavy intensity rain
139,Madaoua,NE,14.073,5.96,77.86,13,0,11.32,clear sky
140,Lasa,IT,46.6166,10.7002,59.0,56,0,3.44,clear sky
141,Polyarnyy,RU,69.1989,33.4478,37.4,81,40,4.47,scattered clouds
142,Port Blair,IN,11.6667,92.75,80.91,75,35,3.2,scattered clouds
143,Terralba,IT,39.7192,8.6392,57.2,94,0,4.61,clear sky
144,Garowe,SO,8.4054,48.4845,76.28,47,49,14.58,scattered clouds
145,Bubaque,GW,11.2833,-15.8333,75.83,72,0,16.71,clear sky
146,Sinnamary,GF,5.3833,-52.95,79.93,79,98,14.16,moderate rain
147,Westport,US,41.1415,-73.3579,54.0,100,90,8.05,fog
148,Marquette,US,46.5333,-87.6335,28.99,81,83,7.0,broken clouds
149,Torbay,CA,47.6666,-52.7314,28.99,68,75,9.22,light snow
150,Dustlik,UZ,40.5247,68.0358,45.3,87,100,11.41,overcast clouds
151,Maniitsoq,GL,65.4167,-52.9,5.94,54,25,2.91,scattered clouds
152,Candelaria,PH,13.9311,121.4233,75.99,92,100,3.67,overcast clouds
153,At-Bashi,KG,41.1702,75.8106,37.98,91,100,1.99,light rain
154,Salalah,OM,17.0151,54.0924,80.6,61,0,3.44,clear sky
155,Hermanus,ZA,-34.4187,19.2345,68.0,70,100,5.01,overcast clouds
156,Antigonish,CA,45.6169,-61.9986,34.0,81,100,15.99,overcast clouds
157,Saint-Pierre,RE,-21.3393,55.4781,78.8,78,0,6.91,clear sky
158,Kavaratti,IN,10.5669,72.642,83.62,73,100,6.33,overcast clouds
159,Tabou,CI,4.423,-7.3528,79.39,84,45,6.15,scattered clouds
160,Umm Kaddadah,SD,13.6017,26.6876,69.64,11,0,14.27,clear sky
161,Berlevag,NO,70.8578,29.0864,35.6,69,0,16.11,clear sky
162,Acri,IT,39.4929,16.3838,48.99,83,0,1.01,clear sky
163,Pangnirtung,CA,66.1451,-65.7125,5.0,51,90,3.44,overcast clouds
164,Ayagoz,KZ,47.9714,80.4392,33.01,95,99,7.45,overcast clouds
165,Damaturu,NG,11.747,11.9608,76.26,18,0,9.1,clear sky
166,Carutapera,BR,-1.195,-46.02,80.11,83,85,7.38,overcast clouds
167,Rincon,US,32.296,-81.2354,86.0,48,75,18.41,broken clouds
168,Sovetsk,RU,55.0839,21.8785,37.63,81,92,7.78,overcast clouds
169,Antofagasta,CL,-23.65,-70.4,68.0,56,0,12.66,clear sky
170,Boromo,BF,11.75,-2.9333,89.71,11,0,9.53,clear sky
171,Hambantota,LK,6.1241,81.1185,73.4,100,90,3.44,light rain
172,Sao Filipe,CV,14.8961,-24.4956,69.66,73,25,16.2,scattered clouds
173,Vilhena,BR,-12.7406,-60.1458,86.0,54,40,10.36,scattered clouds
174,Roald,NO,62.5833,6.1333,42.8,75,40,10.36,scattered clouds
175,Capitao Poco,BR,-1.7464,-47.0594,76.44,94,100,4.74,light rain
176,Shambu,ET,9.5667,37.1,57.25,59,100,3.69,overcast clouds
177,Ilave,PE,-16.0833,-69.6667,52.75,59,74,10.69,broken clouds
178,San-Pedro,CI,4.7485,-6.6363,78.13,89,100,5.91,light rain
179,Clearwater,US,27.9659,-82.8001,84.2,61,1,11.5,clear sky
180,Gat,IL,31.61,34.7642,57.0,1,1,5.03,clear sky
181,Pokaran,IN,26.9167,71.9167,83.98,20,5,18.52,clear sky
182,Valdivia,CL,-39.8142,-73.2459,73.4,49,0,5.75,clear sky
183,Porto Belo,BR,-27.1578,-48.5531,82.99,83,20,8.05,few clouds
184,Lejanias,CO,3.5251,-74.0216,79.11,71,95,6.98,overcast clouds
185,Siavonga,ZM,-16.5382,28.7088,74.05,80,82,7.38,light rain
186,Yar-Sale,RU,66.8333,70.8333,-12.75,99,19,8.86,few clouds
187,Gwadar,PK,25.1216,62.3254,78.6,77,41,8.66,scattered clouds
188,Nuuk,GL,64.1835,-51.7216,10.4,72,20,12.66,few clouds
189,Kaduy,RU,59.2,37.15,24.8,93,0,5.88,clear sky
190,Lucea,JM,18.451,-78.1736,84.0,78,20,19.57,few clouds
191,Zaysan,KZ,47.4667,84.8667,37.72,85,98,6.4,overcast clouds
192,Mwinilunga,ZM,-11.7358,24.4293,61.23,95,93,3.31,overcast clouds
193,Eucaliptus,BO,-17.5833,-67.5167,55.92,55,79,9.48,broken clouds
194,Haverfordwest,GB,51.8017,-4.9691,51.01,99,100,24.0,overcast clouds
195,Kalangala,UG,-0.3089,32.225,75.2,73,20,6.91,few clouds
196,Bordighera,IT,43.7806,7.6645,57.2,88,40,3.49,scattered clouds
197,Zheleznodorozhnyy,RU,55.7503,38.0042,39.2,69,0,2.24,clear sky
198,Gravina In Puglia,IT,40.8197,16.4228,53.01,93,0,5.75,clear sky
199,Bereda,ES,43.2686,-7.5406,48.99,89,0,1.99,clear sky
200,Livingstonia,MW,-10.606,34.1063,63.99,84,87,3.76,light rain
201,Kirkenes,NO,69.7271,30.0458,37.4,75,40,16.11,scattered clouds
202,Kumbhraj,IN,24.3667,77.05,83.26,14,3,7.31,clear sky
203,Temyasovo,RU,52.9933,58.1014,23.0,54,17,2.24,few clouds
204,Harper,LR,4.375,-7.7169,79.27,84,25,6.06,scattered clouds
205,Groningen,NL,53.25,6.75,48.99,87,90,19.57,overcast clouds
206,Soanierana Ivongo,MG,-16.9167,49.5833,77.68,89,79,3.53,light rain
207,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,69.19,83,91,4.14,overcast clouds
208,Clyde River,CA,70.4692,-68.5914,-4.0,84,20,10.36,few clouds
209,Abu Dhabi,AE,24.4667,54.3667,75.2,69,0,12.66,clear sky
210,Bartica,GY,6.4,-58.6167,78.8,89,75,13.8,broken clouds
211,Bembereke,BJ,10.2283,2.6634,83.3,14,0,4.18,clear sky
212,Carnarvon,AU,-24.8667,113.6333,73.4,94,0,3.65,clear sky
213,Alice Town,BS,25.7167,-79.3,78.26,64,6,6.69,clear sky
214,Neftcala,AZ,39.3742,49.2472,47.68,78,4,11.43,clear sky
215,Obo,CF,5.3998,26.4869,80.46,42,57,2.19,broken clouds
216,Walvis Bay,NA,-22.9575,14.5053,61.0,88,0,5.75,clear sky
217,Rodrigues Alves,BR,-7.738,-72.6509,86.0,79,75,6.91,moderate rain
218,Kharitonovo,RU,61.4009,47.4978,29.59,93,100,7.09,overcast clouds
219,Sao Luis De Montes Belos,BR,-16.525,-50.3722,81.99,66,91,2.62,overcast clouds
220,Yining,CN,29.0361,114.5636,62.02,89,17,1.79,few clouds
221,Cap-Aux-Meules,CA,47.3821,-61.8597,30.2,69,92,10.36,overcast clouds
222,Tessalit,ML,20.1986,1.0114,76.44,8,0,11.74,clear sky
223,Salacgriva,LV,57.7536,24.3581,37.99,69,4,5.01,clear sky
224,Brae,GB,60.3964,-1.353,44.6,81,40,20.71,scattered clouds
225,Bonito,BR,-21.1211,-56.4819,76.55,76,94,1.81,overcast clouds
226,Mikhaylovka,RU,50.06,43.2379,28.0,88,10,4.0,clear sky
227,Codrington,AU,-38.2667,141.9667,58.37,76,100,7.18,overcast clouds
